81536,Mirko Trasciatti,85146,founder,91
4503,Marco Magnocavallo,33960,past_investor,91
36063,Andrea Di Camillo,33949,past_investor,91
547,Giuseppe De Giorgi,85,founder,91
554,Russell 'Rope',106308,employee,95
554,Russell 'Rope',89,founder,95
557,Akiva Shmidman,91,founder,97
558,Tim Dunn,92,founder,98
573,Carter,99,founder,105
102459,Adam Draper,1261785,past_investor,112
451916,Becky Jewell,979948,employee,112
229874,Will Cheung,852231,past_investor,112
90403,Lakshmi,846605,past_investor,112
51145,Micah Laaker,655023,employee,112
115167,Travis Silverman,637333,employee,112
29116,Igor Shoifot,597146,past_investor,112
224515,Ankit AJ Jain,587694,past_investor,112
89378,Ron Richards,571103,employee,112
187613,Chris Plough,560487,past_investor,112
78051,Charley Hine,544685,employee,112
232890,Michael Croy,484557,employee,112
66488,Tim Draper,396448,past_investor,112
4420,Tim Sullivan,382732,past_investor,112
184583,Kevin Mann,371130,founder,112
166000,Brad Nyberg,363283,past_investor,112
178630,Dundee Venture Capital,356104,past_investor,112
51145,Micah Laaker,349691,advisor,112
143877,Jeff Lesser,269085,employee,112
133014,Jake Nickell,248180,past_investor,112
97484,Zach Graves,165729,employee,112
89694,David Uslan,149999,employee,112
51166,Dan Theurer,149997,employee,112
588,Micah Baldwin,70228,past_investor,112
9578,Brandon Zeuner,50884,past_investor,112
9304,Ryan Swagar,49226,past_investor,112
2895,Jonathon Triest,49225,past_investor,112
85,Paige Craig,49221,past_investor,112
4130,Jay Adelson,49219,advisor,112
1295,Mark Hasebroock,49218,past_investor,112
144,Dave McClure,49217,past_investor,112
1015,Blair Garrou,49216,past_investor,112
3328,Gary Vaynerchuk,3931,advisor,112
143,David Cohen,3930,past_investor,112
209,Chris Sacca,3929,past_investor,112
219,Tim Ferriss,1914,advisor,112
588,Micah Baldwin,106,founder,112
121,Rob Go,220835,past_investor,115
3188,David Beisel,220834,past_investor,115
513,Lee Hower,220831,past_investor,115
2797,Zach Klein,220828,past_investor,115
102036,Jack Zerby,220827,founder,115
122975,David Marcus,219663,founder,115
300,David Tisch,97850,past_investor,115
32336,Miro Khoudari,30269,past_investor,115
12112,Albert Azout,26595,past_investor,115
593,Jonathan Marcus,109,founder,115
597,Apurva Metha,110,founder,116
566456,David Corre,1263368,employee,117
567516,Michael Barnett,1263362,employee,117
505081,Eli Feldblum,1263361,employee,117
505081,Eli Feldblum,1263350,founder,117
64229,Avichay Nissenbaum,727904,advisor,117
251984,Brent Hoberman,727903,advisor,117
598,Mayer Reich,727873,employee,117
86670,Michael Adler,697637,past_investor,117
64229,Avichay Nissenbaum,64074,past_investor,117
42405,Yoram Wijngaarde,62912,past_investor,117
598,Mayer Reich,111,founder,117
146693,Nick Persico,1320673,employee,118
580729,Justin Rands,1302461,employee,118
457437,Alex Kirtland,1002629,employee,118
426317,Todd Perry,920306,past_investor,118
263149,Jason Morganson,801479,employee,118
366419,Karim Elfar,801475,advisor,118
366274,Bruce Hack,801474,advisor,118
106817,James Piette,801467,board_member,118
599,Vasu Kulkarni,801466,board_member,118
1690,Greg Cangialosi,801463,board_member,118
257204,Gregory Davidson,731755,employee,118
319347,Glenn Yonemitsu,708932,employee,118
164597,Joshua Buhler,557527,attorney,118
106817,James Piette,553069,founder,118
251955,Tommy White,527904,past_investor,118
93472,Jim,507296,employee,118
165858,Steven Lau,410954,past_investor,118
171532,Neil DeSena,338630,past_investor,118
23999,Carter McJunkin,293455,past_investor,118
18794,Jason Lee,283682,past_investor,118
78467,Brett Bivens,242519,employee,118
106817,James Piette,186642,employee,118
81664,Dan Mindus,143169,past_investor,118
599,Vasu Kulkarni,112226,employee,118
82677,Mike Lombardi,86469,past_investor,118
7019,Jarrod Yuster,73635,past_investor,118
10251,Ken Fox,73634,past_investor,118
1690,Greg Cangialosi,73633,past_investor,118
65979,Rishi Nangalia,66212,past_investor,118
60897,Jason Lee,59897,past_investor,118
4380,Tom Loveland,24035,past_investor,118
5053,Aman Thapar,23318,past_investor,118
4188,Jay Steinmetz,3244,past_investor,118
4121,David Troy,3160,past_investor,118
599,Vasu Kulkarni,112,founder,118
3882,Ashwin Navin,818017,past_investor,119
142071,Sand Hill Angels,264410,past_investor,119
82166,Sherman Ting,256003,past_investor,119
18840,Philipp Stauffer,213432,past_investor,119
35659,Michael Leeman,165497,past_investor,119
23711,Anthony Soohoo,70916,past_investor,119
55222,Ernesto Paiz,53878,past_investor,119
23582,Amar Chokhawala,39298,past_investor,119
27625,Michael Cheung,39297,past_investor,119
2873,Matt Ocko,39296,past_investor,119
1763,Peter Boboff,37772,past_investor,119
38597,Erik Moore,37033,past_investor,119
4937,Alex Fries,35269,past_investor,119
11149,Michael Leeman,7346,past_investor,119
43,Paul Bragiel,7266,past_investor,119
394,Tuff Yen,7265,past_investor,119
1329,Marcus Ogawa,7264,past_investor,119
95,Tom McInerney,7263,past_investor,119
946,Steve Bennet,7262,past_investor,119
2943,Alfred Lin,7259,past_investor,119
8999,Nalin Mittal,6564,founder,119
2553,Sumeet Jain,6457,advisor,119
3663,Yishan Wong,6455,advisor,119
9531,Josh Elman,6454,advisor,119
4448,Eric Chen,6447,past_investor,119
2601,Tom Chiu,1796,past_investor,119
144,Dave McClure,1697,past_investor,119
603,Ryan Merket,113,founder,119
4009,Michael Kaply,593351,employee,121
2169,Vic Thorne,593315,board_member,121
218912,Ross Kayuha,593314,board_member,121
3749,Kevin Dwinnell,593313,board_member,121
606,Patrick Murphy,593311,board_member,121
278556,steve karzmer,593307,attorney,121
3733,Ryan D Miller,593270,employee,121
3749,Kevin Dwinnell,593268,employee,121
606,Patrick Murphy,593265,employee,121
54762,Zach Lawrence,452332,past_investor,121
218912,Ross Kayuha,452071,past_investor,121
9042,Chris Anderson,405118,past_investor,121
155410,Benjamin Lagemann,296852,past_investor,121
30494,Andy Dickson,75170,past_investor,121
198,Todd Federman,51063,past_investor,121
2169,Vic Thorne,6593,advisor,121
3743,Charlie Rinehart,2403,past_investor,121
3549,Adam Winter,2401,past_investor,121
3749,Kevin Dwinnell,2395,founder,121
3737,Mark Harris,2394,advisor,121
606,Patrick Murphy,115,founder,121
609,Patrick Hitches,117,founder,123
2681,Lee Essner,156035,advisor,127
36319,Katrina Razavi,34200,founder,127
617,Justin Fredericks,121,founder,127
67479,Jose Marin,1496887,past_investor,130
214818,Terrence "Lee" Zehrer,1211807,board_member,130
416443,Daren Nitz,1010689,attorney,130
301930,Jonathan Alford,657844,advisor,130
208170,Steve Peterman,655136,advisor,130
300382,Larry Mogelonsky,654320,advisor,130
274467,Kenji Crosland,584118,employee,130
274630,Jakub Cholewczynski,584115,employee,130
159699,Michael Glaser,581223,attorney,130
61881,Michael Lazerow,514501,past_investor,130
237579,Ben Rafter,495117,advisor,130
214818,Terrence "Lee" Zehrer,443106,past_investor,130
208115,Ian Smith,428727,advisor,130
208208,Aaron Sandorffy,425923,advisor,130
309,Eghosa Omoigui,425907,advisor,130
621,David Jennings,244161,board_member,130
119039,Steve Grigory,211648,employee,130
128,Ash Patel,44213,past_investor,130
29547,Andrew Ogawa,34169,past_investor,130
32328,Sky Dayton,31759,past_investor,130
585,Michael Marquez,29055,past_investor,130
1329,Marcus Ogawa,20718,past_investor,130
3582,Fabrice Grinda,7497,past_investor,130
1286,Chris Hobbs,7496,past_investor,130
621,David Jennings,124,founder,130
628,Harald Amundsen,128,founder,134
68840,Alexander Elenskiy,1052606,board_member,135
40005,Sergey Poroshin,1052605,board_member,135
40000,Andrey Kovalenko,1052604,board_member,135
629,Alexey Aylarov,1052603,board_member,135
40000,Andrey Kovalenko,458241,employee,135
40005,Sergey Poroshin,458240,employee,135
181799,Michael Kozloff,364009,advisor,135
166148,Gerry Murfitt,332105,attorney,135
1798,Bill Tai,286531,advisor,135
54350,Shannon McElyea,258666,employee,135
130690,Cary FitzGerald,236138,advisor,135
629,Alexey Aylarov,101348,employee,135
68779,Anatoly Gaverdovskiy,69967,past_investor,135
68840,Alexander Elenskiy,69966,past_investor,135
3881,Esther Dyson,69964,past_investor,135
40000,Andrey Kovalenko,38448,founder,135
40005,Sergey Poroshin,38447,founder,135
15876,Sergei Burkov,9436,advisor,135
3881,Esther Dyson,9435,advisor,135
629,Alexey Aylarov,129,founder,135
222966,Stanislav Malchev,461061,employee,147
55190,Tolis Dimopoulos,452817,attorney,147
650,Robel Alemu,446107,employee,147
650,Robel Alemu,141,founder,147
88732,Anthony Glenning,968725,board_member,149
411539,Drew Sechrist,888586,past_investor,149
410304,Christian Meyers,885853,past_investor,149
177097,J. Fah Sathirapongsasuti,765793,employee,149
329939,Kai Stinchcombe,756935,founder,149
67323,Bill Hunt,157537,advisor,149
88732,Anthony Glenning,148701,past_investor,149
118053,Derek Choy,148297,founder,149
88565,Jack O'Holleran,148296,founder,149
88723,David Ehrlich,148295,founder,149
